Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
00:15,AR1,Boca Juniors,Temperley,1,75,16,9,1.30,5.62,12.40,42,58,2.08,1.83,1 - 0
01:00,MX1,Veracruz,Pachuca,,0,0,0, , , ,0,0, , ,0 - 1
01:30,AR1,Lanus,River Plate,X2,24,34,42,5.50,3.60,1.75,77,23,1.71,2.28,1 - 0
01:30,CL,Colo-Colo,Audax Italiano,1X,52,19,28,1.33,4.70,6.75,19,81,2.35,1.62,3 - 2
02:00,MX1,Veracruz,Pachuca,2X,23,28,48,3.34,3.49,2.28,63,37,1.84,2.06,0 - 1
02:30,AR1,Lanús,River Plate,X2,27,37,37,4.64,3.29,1.98,81,19,1.59,2.44,1 - 0
17:00,RO1,CSMS Iasi,Botosani,1,62,24,15, , , ,59,41, , ,1 - 0
17:00,TR1,Adanaspor,Gazişehir Gaziantep,X1,41,25,34,2.50,3.10,2.60,46,54,1.68,2.06,2 - 5
18:00,PL1,Piast Gliwice,Jagiellonia,X2,33,34,33,3.10,3.20,2.44,77,23,1.76,2.16,0 - 2
18:00,TR1,Galatasaray,Antalyaspor,1,79,13,7, , , ,35,65, , ,3 - 0
18:00,RO1,CSM Iaşi,Botoşani,1,62,24,15,2.44,3.00,3.48,59,41,1.48,2.67,1 - 0
18:30,GR1,PAOK Thessaloniki,Larissa,1,79,11,7, , , ,19,81, , ,3 - 0
19:00,DN1,Hobro,AGF,X1,42,23,35,2.54,3.35,2.96,39,61,1.82,2.10,0 - 1
19:00,TR,Galatasaray,Antalyaspor,1,79,13,7,1.30,6.01,10.67,35,65,3.39,1.33,3 - 0
19:00,PL,Piast Gliwice,Jagiellonia Białystok,X2,33,34,33,3.00,3.20,2.40,77,23,1.70,2.08,0 - 2
19:30,GR1,PAOK,Larissa,1,79,11,7,1.13,6.50,18.00,19,81,2.32,1.57,3 - 0
19:45,RO1,Concordia,Dinamo Bucuresti,X2,37,26,37, , , ,50,50, , ,3 - 4
20:00,NT2,Jong AZ Alkmaar,Fortuna Sittard,X2,39,23,39,3.40,3.95,2.04,35,65,2.70,1.51,2 - 0
20:00,IL1,Hapoel Beer Sheva,FC Ashdod,1X,53,22,25,1.41,4.50,9.00,35,65,1.88,1.97,2 - 0
20:00,NT2,Go Ahead Eagles,Emmen,2X,25,26,49, , , ,54,46, , ,0 - 1
20:00,DN1,Hobro,AGF,X1,42,23,35,2.50,3.30,2.75,39,61,1.83,1.98,0 - 1
20:30,GE2,St. Pauli,Nuernberg,X2,28,23,49,2.96,3.45,2.52,39,61,1.99,1.91,0 - 0
20:30,ITB,Palermo,Foggia,X2,28,23,49,1.66,3.90,5.80,39,61,2.08,1.85,1 - 2
20:45,FR2,Auxerre,Nimes,X1,41,25,34,3.00,3.35,2.48,46,54,1.91,2.00,0 - 0
20:45,RO1,Concordia Chiajna,Dinamo Bucureşti,X2,37,26,37,7.59,4.08,1.53,50,50,1.63,2.34,3 - 4
21:00,EGP,Chelsea,West Bromwich,1,70,21,9,1.36,5.10,10.00,59,41,1.99,1.94,3 - 0
21:00,PR1,Moreirense,Estoril,1X,42,34,24,2.42,3.20,3.25,77,23,1.73,2.26,1 - 2
21:00,SP1,Deportivo La Coruna,Real Betis,X2,30,26,45,2.22,3.80,3.15,50,50,2.60,1.56,0 - 1
21:00,IL1,Hapoel Be'er Sheva,Ashdod,1X,53,22,25,1.35,4.20,7.50,35,65,1.87,1.87,2 - 0
21:00,NT2,Go Ahead Eagles,FC Emmen,2X,25,26,49,3.73,3.97,1.96,54,46,2.52,1.53,0 - 1
21:00,NT2,Jong AZ,Fortuna Sittard,X2,39,23,39,3.25,3.90,2.15,35,65,2.60,1.47,2 - 0
21:30,ITB,Palermo,Foggia,X2,28,23,49,1.60,3.80,5.40,39,61,2.04,1.74,1 - 2
21:30,GE2,St. Pauli,Nürnberg,X2,28,23,49,2.45,3.25,2.85,39,61,1.92,1.83,0 - 0
21:45,FR2,Auxerre,Nîmes,X1,41,25,34,2.95,3.10,2.40,46,54,1.90,1.86,0 - 0
22:00,SP1,Deportivo La Coruña,Real Betis,X2,30,26,45,2.05,3.80,3.20,50,50,2.50,1.50,0 - 1
22:00,PR1,Moreirense,Estoril,1X,42,34,24,2.15,3.15,3.45,77,23,1.64,2.20,1 - 2
22:00,EGP,Chelsea,West Bromwich Albion,1,70,21,9,1.39,5.16,9.23,59,41,2.05,1.80,3 - 0
23:00,AR1,Tigre,Argentinos Juniors,X2,33,27,40,2.52,3.20,3.05,54,46,1.78,2.16,2 - 0
23:00,AR1,Atletico Tucuman,San Martin S.J.,1X,53,29,19,1.94,3.35,4.50,68,32,1.68,2.34,2 - 1
