Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
02:00,MX2,UAEM Potros,Venados FC,1X,53,32,16, , , ,77,23, , ,0 - 1
03:00,MX2,Correcaminos UAT,Mineros de Zacatecas,X2,31,29,40, , , ,63,37, , ,1 - 1
03:00,MX2,Atletico San Luis,Dorados,2X,19,29,53, , , ,68,32, , ,3 - 1
03:00,MX2,Potros UAEM,Venados,1X,53,32,16,2.10,3.20,3.25,77,23,1.60,2.29,0 - 1
03:30,MX2,Tapachula,FC Juarez,X2,37,26,37, , , ,50,50, , ,1 - 0
04:00,MX2,Correcaminos UAT,Mineros de Zacatecas,X2,31,29,40,2.70,3.10,2.50,63,37,1.77,2.02,1 - 1
04:00,MX2,Atlético San Luis,Dorados,2X,19,29,53,2.00,3.15,4.06,68,32,1.65,2.20,3 - 1
04:30,MX2,Cafetaleros de Tapachula,Juárez,X2,37,26,37,2.10,3.20,3.25,50,50,1.70,2.10,1 - 0
04:36,MX2,Cimarrones,Atlante,X2,35,31,35, , , ,68,32, , ,2 - 1
05:00,MX2,Murcielagos FC,Tampico Madero,X1,46,40,14, , , ,89,11, , ,1 - 0
05:36,MX2,Cimarrones de Sonora,Atlante,X2,35,31,35,2.79,3.10,2.39,68,32,1.57,2.35,2 - 1
06:00,MX2,Murciélagos,Tampico Madero,X1,46,40,14,2.62,3.00,2.62,89,11,1.53,2.39,1 - 0
07:35,A1,Central Coast Mariners,Sydney FC,2,10,16,73,5.60,4.30,1.54,35,65,2.28,1.56,1 - 2
08:35,A1,Central Coast Mariners,Sydney,2,10,16,73,5.30,4.20,1.60,35,65,2.33,1.60,1 - 2
09:00,RU2,Luch Vladivostok,Spartak Moskva II,1,57,24,19,1.54,3.60,4.80,54,46,1.56,2.25,1 - 1
09:50,A1,Melbourne City,Western Sydney,X2,35,23,42,2.06,3.55,3.40,39,61,2.06,1.67,3 - 0
10:00,RU2,Tom' Tomsk,Sibir,X1,41,39,21,2.57,2.99,3.10,85,15,1.41,2.69,1 - 1
10:00,RU2,Rotor Volgograd,Yenisey,2,17,26,57,6.07,3.73,1.63,63,37,1.74,2.09,1 - 0
10:50,A1,Melbourne City,Western Sydney Wanderers,X1,49,24,27,1.78,4.00,4.20,46,54,2.30,1.61,3 - 0
12:00,RU2,Krylya Sovetov,Orenburg,X1,49,24,27,2.28,2.92,3.81,46,54,1.30,3.07,0 - 0
13:00,RU2,Kuban Krasnodar,Baltika,1X,53,32,16, , , ,77,23, , ,0 - 1
13:00,RU2,Luch Energiya,Spartak Moscow 2,1,57,24,19, , , ,54,46, , ,1 - 1
13:00,RU2,Fakel,Zenit 2,2X,11,32,58, , , ,81,19, , ,0 - 1
13:00,RU2,Tom Tomsk,Sibir Novosibirsk,X1,41,39,21, , , ,85,15, , ,1 - 1
13:00,RU2,Volgar,Dinamo St Petersburg,X2,33,34,33, , , ,77,23, , ,0 - 0
13:00,RU2,Krylya Sovetov,Orenburg,X1,49,24,27, , , ,46,54, , ,0 - 0
13:00,RU2,Avangard Kursk,Shinnik Yaroslavl,X2,33,27,40, , , ,54,46, , ,1 - 2
13:00,RU2,Rotor Volgograd,Enisey,2,17,26,57, , , ,63,37, , ,1 - 0
13:00,RU2,Khimki,Tyumen,X2,37,26,37, , , ,50,50, , ,1 - 0
13:00,SP2,Albacete,Leonesa,1X,42,34,24, , , ,77,23, , ,0 - 0
13:00,RU2,Olimpiec Nizhny,Tambov,1X,40,29,31, , , ,63,37, , ,1 - 1
13:00,RU2,Olimpiyets,Tambov,1X,40,29,31,3.05,3.09,2.54,63,37,1.50,2.46,1 - 1
14:00,SP2,Albacete,Cultural Leonesa,1X,42,34,24,2.12,3.21,4.04,77,23,1.61,2.36,0 - 0
14:00,RU2,Khimki,Tyumen,X2,37,26,37,2.10,3.10,3.75,50,50,1.57,2.35,1 - 0
14:00,RU2,Volgar Astrakhan,Dinamo St. Petersburg,X2,33,34,33,3.07,3.18,2.47,77,23,1.52,2.43,0 - 0
14:00,RU2,Avangard Kursk,Shinnik,X2,33,27,40,2.14,3.00,3.56,54,46,1.55,2.38,1 - 2
15:00,RU2,Fakel,Zenit II,2X,11,32,58,2.58,3.20,2.90,81,19,1.68,2.16,0 - 1
15:30,WAL1,Aberystwyth,Barry Town,1,72,16,12, , , ,29,71, , ,0 - 2
15:30,WAL1,Prestatyn Town,Carmarthen,2X,14,29,58, , , ,72,28, , ,0 - 1
15:30,WAL1,The New Saints,Cefn Druids AFC,1,72,14,13, , , ,17,83, , ,
15:30,WAL1,Newtown AFC,Llandudno,1,65,22,13, , , ,54,46, , ,3 - 2
16:00,SP2,Lugo,Valladolid,1,62,24,15,1.80,2.20,2.04,59,41,1.03,1.01,0 - 0
16:00,SC1,Morton,Brechin,X2,30,39,30,1.38,4.90,7.60,85,15,2.16,1.59,2 - 0
16:00,SC1,Queen of South,Livingston,X2,20,23,57,2.58,3.10,2.60,46,54,1.70,1.98,3 - 3
16:00,EG1,Bradford City,Gillingham,X2,27,24,49,2.02,3.30,3.70,46,54,1.78,1.98,1 - 0
16:00,EG2,Accrington Stanley,Yeovil Town,1X,57,23,20, , , ,46,54, , ,
16:00,EG2,Carlisle United,Cambridge United,X1,45,26,30,2.20,3.30,3.50,50,50,1.78,1.98,1 - 1
16:00,EG2,Coventry City,Grimsby Town,1,66,23,11,1.79,3.40,5.00,63,37,1.64,2.16,4 - 0
