Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
00:00,MX1,Cruz Azul,Pumas,X2,33,27,40, , , ,54,46, , ,
00:00,AR1,Talleres,Defensa y Justicia,X2,37,26,37, , , ,50,50, , ,
00:00,AR1,Talleres,Defensa y Justicia,X2,37,26,37, , , ,50,50, , ,
00:00,MX1,Cruz Azul,Pumas,X2,33,27,40, , , ,54,46, , ,
00:00,AR1,Talleres,Defensa y Justicia,X2,37,26,37, , , ,50,50, , ,1 - 0
00:00,MX1,Cruz Azul,Pumas,X2,33,27,40, , , ,54,46, , ,1 - 1
00:00,MX2,Mineros de Zacatecas,Atlético San Luis,1X,56,20,24,1.85,3.20,3.60,26,74,1.96,1.75,1 - 2
01:00,MX2,FC Juarez,Murcielagos FC,2X,21,31,48, , , ,72,28, , ,0 - 1
01:00,MX1,Cruz Azul,Pumas UNAM,X2,28,28,44,1.77,3.83,5.01,59,41,1.90,2.00,1 - 1
01:00,AR1,Talleres Córdoba,Defensa y Justicia,X2,37,26,37,2.18,3.28,3.82,50,50,1.55,2.53,1 - 0
01:30,MLS,Atlanta United,Vancouver Whitecaps,1,79,13,7,1.53,4.63,6.35,35,65,2.53,1.56,4 - 1
01:30,CL,Curicó Unido,Audax Italiano,2X,22,22,57,2.28,3.45,3.32,39,61,1.83,2.05,3 - 0
02:00,MX2,Alebrijes De Oaxaca,Tapachula,X1,43,19,37, , , ,17,83, , ,1 - 2
02:00,MX1,Monterrey,Queretaro FC,X1,49,23,28,1.57,4.20,6.80,39,61,2.12,1.85,3 - 1
02:06,MX1,Leon,Lobos BUAP,X1,45,26,30,2.08,3.80,3.75,50,50,2.62,1.57,2 - 2
02:30,MLS,Sporting KC,SJ Earthquakes,1X,48,31,21,1.57,4.12,6.85,72,28,1.92,1.98,3 - 2
03:00,MX2,Tampico Madero,Cimarrones,X1,45,24,31, , , ,42,58, , ,1 - 0
03:00,MLS,Real Salt Lake,New York RB,1X,49,19,31,2.25,3.64,3.27,17,83,2.14,1.78,1 - 0
03:00,MX2,Alebrijes de Oaxaca,Cafetaleros de Tapachula,X1,43,19,37,1.95,3.29,3.60,17,83,1.75,1.96,1 - 2
03:00,MX2,Juárez,Murciélagos,X2,27,37,37,1.55,3.60,5.75,81,19,1.58,2.20,0 - 1
03:00,MX1,Monterrey,Querétaro,X1,49,24,27,1.53,4.37,7.06,46,54,2.11,1.81,3 - 1
03:06,MX1,León,Lobos BUAP,X1,49,24,27,1.92,3.55,3.35,46,54,2.51,1.56,2 - 2
04:00,MX2,Dorados,Celaya,1X,44,30,26, , , ,68,32, , ,1 - 2
04:00,MX1,CF America,Toluca,1X,63,19,18,2.18,3.35,3.75,32,68,1.80,2.16,1 - 2
04:00,MX1,Necaxa,Pachuca,X2,31,29,40,2.34,3.40,3.45,63,37,1.82,2.12,1 - 1
04:00,MX2,Tampico Madero,Cimarrones de Sonora,X1,45,24,31,2.00,3.39,3.39,42,58,1.65,2.10,1 - 0
04:06,MX1,CD Guadalajara,Tigres,X1,41,39,21,2.76,3.15,2.94,85,15,1.66,2.38,0 - 0
05:00,MX2,Dorados,Celaya,1X,44,30,26,2.37,3.20,2.79,68,32,1.72,2.00,1 - 2
05:00,MX1,Necaxa,Pachuca,X2,31,29,40,2.31,3.38,3.37,63,37,1.81,2.10,1 - 1
05:00,MX1,América,Toluca,1X,63,19,18,2.23,3.44,3.50,32,68,1.82,2.09,1 - 2
05:06,MX1,Guadalajara,Tigres UANL,X2,33,34,33,2.66,3.24,2.93,77,23,1.63,2.37,0 - 0
07:00,A1,Melbourne Victory,Central Coast Mariners,1,57,24,19,1.59,4.50,6.00,54,46,2.26,1.72,5 - 2
08:00,A1,Melbourne Victory,Central Coast Mariners,1,61,22,17,1.60,4.39,5.85,50,50,2.23,1.65,5 - 2
11:30,TR1,Konyaspor,Kayserispor,X1,36,28,36,2.38,3.10,3.05,59,41,1.59,2.18,2 - 0
11:30,TR1,Alanyaspor,Goztepe,1,61,22,17,2.00,3.70,3.65,50,50,2.30,1.56,1 - 1
12:00,SP1,Leganes,Sevilla,X2,33,27,40,3.65,3.30,2.20,54,46,1.68,2.24,2 - 1
12:00,BG1,CSKA-Sofia,Levski Sofia,X,40,21,40, , , ,24,76, , ,1 - 0
12:00,RU1,CSKA Moscow,Amkar,1,67,25,8, , , ,72,28, , ,
12:00,TR1,BB Erzurumspor,Giresunspor,1X,53,22,25,2.28,3.00,2.95,35,65,1.65,2.10,5 - 4
12:00,TR1,Balıkesirspor,İstanbulspor,1X,44,30,26,2.08,3.15,3.20,68,32,1.68,2.05,0 - 1
12:30,ITA,Sampdoria,Inter,1,61,22,17,3.95,3.40,2.16,50,50,1.91,2.02,0 - 5
12:30,NT1,AZ Alkmaar,Groningen,1,76,17,7,1.29,6.20,11.00,50,50,3.05,1.43,3 - 2
12:30,TR,Alanyaspor,Göztepe,1,61,22,17,2.06,3.73,3.62,50,50,2.39,1.53,1 - 1
12:30,TR,Konyaspor,Kayserispor,X1,36,28,36,2.44,3.34,3.12,59,41,1.74,2.16,2 - 0
13:00,FR1,Nice,Paris Saint Germain,2,18,21,60,9.00,5.50,1.37,42,58,2.72,1.53,1 - 2
13:00,EGC,Derby County,Cardiff City,X1,40,27,33,2.78,3.25,2.90,54,46,1.74,2.24,
13:00,SP2,Real Valladolid,Almería,1X,53,20,27,1.64,4.01,5.85,24,76,1.98,1.78,2 - 1
13:00,SP1,Leganés,Sevilla,X2,33,27,40,3.79,3.39,2.00,54,46,1.66,2.14,2 - 1
13:00,BG1,CSKA Sofia,Levski Sofia,X,40,21,40,1.80,3.40,3.75,24,76,2.04,1.75,1 - 0
13:15,PR2,Penafiel,Santa Clara,X2,35,31,35,2.39,3.13,3.36,68,32,1.50,2.56,3 - 0
13:30,GE1,Borussia Dortmund,Hannover 96,1,57,24,19,1.47,5.00,7.60,54,46,2.48,1.58,1 - 0
13:30,GE2,Nuernberg,Darmstadt,1,65,21,15,1.92,3.45,4.40,46,54,1.90,2.06,1 - 1
13:30,GE2,Eintracht Braunschweig,Duisburg,X2,31,29,40,2.06,3.45,4.00,63,37,1.95,1.95,3 - 2
13:30,GE2,Ingolstadt,Dynamo Dresden,2X,21,31,48,1.85,3.70,4.50,72,28,1.99,1.92,4 - 2
13:30,ITA,Sampdoria,Internazionale,1,61,22,17,3.96,3.43,2.06,50,50,1.90,1.90,0 - 5
13:30,NT1,AZ,FC Groningen,1,76,17,7,1.30,5.80,8.50,50,50,3.10,1.38,3 - 2
14:00,TR1,Trabzonspor,Yeni Malatyaspor,X1,41,39,21,1.63,3.65,5.30,85,15,1.71,1.98,4 - 1
14:00,EST1,Kalju Nomme,Tammeka,1,83,6,4, , , ,10,90, , ,1 - 0
14:00,GR1,Panionios,Xanthi,1X,63,28,9, , , ,77,23, , ,
14:00,RS1,Partizan,Radnik Surdulica,1,62,24,15,1.16,6.00,15.00,59,41,2.29,1.60,2 - 0
14:00,FR1,Nice,PSG,2,18,21,60,9.71,5.76,1.34,42,58,2.65,1.46,1 - 2
