Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
15:00,TR1,Boluspor,BB Erzurumspor,1,62,24,15,1.83,3.60,4.65,59,41,1.71,2.00,1 - 1
17:00,UEFA,Lokomotiv Moscow,Nice,1X,46,21,33,2.56,3.50,3.00,29,71,1.92,2.06,1 - 0
18:00,TR1,Adanaspor,Adana Demirspor,1,61,22,17,2.18,3.57,3.31,50,50,1.90,1.80,1 - 0
18:00,UEFA,Lokomotiv Moskva,Nice,X1,45,24,31,2.40,3.50,3.05,42,58,1.90,1.90,1 - 0
19:00,UEFA,Dynamo Kiev,AEK Athens,1,83,11,5,2.02,3.35,4.70,29,71,1.62,2.58,0 - 0
19:00,UEFA,Atletico Madrid,FC Copenhagen,X2,11,42,47,1.25,6.60,17.50,91,9,2.28,1.77,1 - 0
19:00,UEFA,Zenit St Petersburg,Celtic,1,88,9,2,1.66,4.00,6.20,42,58,1.94,2.04,3 - 0
19:00,UEFA,Sporting CP,FC Astana,X2,9,36,55,1.41,5.10,10.00,87,13,2.24,1.78,3 - 3
19:00,UEFA,RB Leipzig,Napoli,X2,18,65,18,1.96,3.95,4.10,99,1,2.44,1.67,0 - 2
19:00,UEFA,Viktoria Plzen,Partizan Belgrade,1,83,11,5,1.76,3.85,5.60,29,71,1.93,2.06,2 - 0
19:00,UEFA,Villarreal,Lyon,X2,32,25,43,1.86,4.20,4.40,48,52,2.80,1.54,0 - 1
19:00,UEFA,Lazio,FCSB,X2,37,26,37,1.26,6.60,16.00,50,50,2.48,1.66,5 - 1
20:00,UEFA,Atlético Madrid,København,1,61,22,17,1.20,6.90,19.00,50,50,2.18,1.68,1 - 0
20:00,UEFA,Dynamo Kyiv,AEK Athens,1,79,12,7,2.04,3.23,4.34,26,74,1.53,2.53,0 - 0
20:00,UEFA,Zenit,Celtic,1X,56,20,23,1.73,3.85,5.00,32,68,1.86,1.94,3 - 0
20:00,UEFA,RB Leipzig,Napoli,2,4,19,77,2.71,3.57,2.64,65,35,2.33,1.61,0 - 2
20:00,UEFA,Villarreal,Olympique Lyonnais,X2,34,25,41,1.75,4.23,4.50,46,54,2.70,1.47,0 - 1
20:00,UEFA,Viktoria Plzeň,Partizan,1,62,18,20,1.66,4.01,5.65,21,79,1.85,2.03,2 - 0
20:00,UEFA,Lazio,FCSB,1,57,24,19,1.22,6.70,16.00,54,46,2.33,1.61,5 - 1
20:00,UEFA,Sporting CP,Astana,1,61,22,17,1.50,4.40,7.25,50,50,2.18,1.68,3 - 3
21:05,UEFA,Salzburg,Real Sociedad,2,17,17,65,2.40,3.75,3.05,24,76,2.32,1.74,2 - 1
21:05,UEFA,Athletic Bilbao,Spartak Moscow,1,75,20,5,1.89,3.90,4.60,68,32,2.14,1.86,1 - 2
21:05,UEFA,Atalanta,Borussia Dortmund,1,84,13,3,2.62,3.80,2.76,52,48,2.68,1.58,1 - 1
21:05,UEFA,Arsenal,Ostersunds FK,1,76,13,9,1.30,6.40,12.50,24,76,2.80,1.53,1 - 2
21:05,UEFA,AC Milan,Ludogorets Razgrad,1,77,14,8,1.68,4.00,6.00,34,66,2.04,1.95,1 - 0
21:05,UEFA,Braga,Marseille,1,71,22,7,2.62,3.55,2.94,68,32,2.02,1.95,1 - 0
22:05,UEFA,Atalanta,Borussia Dortmund,1X,53,20,27,2.29,3.77,3.04,24,76,2.60,1.50,1 - 1
22:05,UEFA,Athletic Club,Spartak Moskva,X1,46,23,32,1.86,3.84,4.36,35,65,2.17,1.74,1 - 2
22:05,UEFA,Salzburg,Real Sociedad,2X,29,20,50,2.65,3.52,2.72,26,74,2.02,1.79,2 - 1
22:05,UEFA,Milan,Ludogorets,1,86,10,4,2.02,3.45,4.06,32,68,1.96,1.92,1 - 0
22:05,UEFA,Arsenal,Östersunds FK,1,73,14,12,1.22,7.25,13.78,21,79,2.75,1.45,1 - 2
22:05,UEFA,Sporting Braga,Olympique Marseille,1,76,17,7,2.68,3.45,2.73,50,50,1.92,1.88,1 - 0
