Time,Comp,Home,Away,Tip,H,D,A,1,X,2,U,O,U2.5,O2.5,FT
00:00,AR1,Olimpo,Temperley,1X,58,32,11, , , ,81,19, , ,
00:00,AR1,Olimpo,Temperley,1X,58,32,11, , , ,81,19, , ,1 - 1
01:00,AR1,Olimpo,Temperley,1X,58,32,11,2.35,3.00,3.00,81,19,1.52,2.43,1 - 1
01:15,AR1,Godoy Cruz,Colon,X1,53,23,24,2.12,3.25,4.00,42,58,1.62,2.50,2 - 1
03:15,AR1,Godoy Cruz,Colón,1X,57,23,20,2.05,3.35,4.19,46,54,1.58,2.28,2 - 1
16:00,CRO1,NK Lokomotiva,Osijek,X1,36,28,36, , , ,59,41, , ,1 - 1
16:30,EST1,Tammeka,Paide Linnameeskond,X2,31,29,40, , , ,63,37, , ,5 - 2
17:00,ITB,Pro Vercelli,Perugia,2,12,26,62,3.05,3.15,2.76,68,32,1.69,2.38,0 - 2
17:00,ITB,Brescia,Entella,1X,53,24,23,2.08,3.35,4.30,50,50,1.71,2.36,0 - 0
17:30,ITA,Udinese,Fiorentina,X1,45,26,30,3.55,3.30,2.36,50,50,1.76,2.28,0 - 2
17:30,ITA,Genoa,Cagliari,X2,29,32,38,1.88,3.45,5.40,72,28,1.64,2.50,2 - 1
17:30,ITA,Atalanta,Sampdoria,X1,40,27,33,1.44,5.20,8.60,54,46,2.58,1.62,1 - 2
18:00,RO1,Botoşani,Dinamo Bucureşti,2,11,23,66,2.86,3.09,2.80,63,37,1.51,2.60,0 - 1
18:00,CRO1,Lokomotiva Zagreb,Osijek,X1,36,28,36,3.69,3.23,2.10,59,41,1.68,2.06,1 - 1
18:30,FR2,Tours,Valenciennes,1X,48,31,21,2.04,3.45,4.40,72,28,1.84,2.14,1 - 2
18:30,EST1,Trans Narva,Tulevik Viljandi,1X,38,32,29, , , ,72,28, , ,2 - 0
18:30,EST1,Tammeka,Paide,X2,31,29,40,2.42,3.45,2.76,63,37,1.86,1.84,5 - 2
19:00,ITB,Pro Vercelli,Perugia,2,12,26,62,2.96,3.11,2.70,68,32,1.71,2.20,0 - 2
19:00,ITB,Brescia,Virtus Entella,1X,53,24,23,2.06,3.26,4.21,50,50,1.68,2.26,0 - 0
19:00,DN1,Horsens,Midtjylland,2,15,21,65,5.50,4.00,1.60,46,54,2.02,1.80,0 - 1
19:30,ITA,Genoa,Cagliari,X2,29,32,38,1.83,3.35,4.90,72,28,1.57,2.40,2 - 1
19:30,ITA,Udinese,Fiorentina,X1,45,26,30,3.45,3.20,2.23,50,50,1.78,2.04,0 - 2
19:30,ITA,Atalanta,Sampdoria,X1,40,27,33,1.36,4.90,9.00,54,46,2.42,1.60,1 - 2
19:30,IL1,Maccabi Netanya,Maccabi Tel Aviv,X1,45,24,31,4.00,3.45,1.74,42,58,1.98,1.76,4 - 1
19:45,SCP,Motherwell,Aberdeen,X1,36,28,36,3.95,3.40,2.18,59,41,1.72,2.34,0 - 2
19:45,SC1,Dunfermline,Livingston,2X,20,20,60,2.54,3.35,3.05,35,65,1.84,2.12,1 - 0
19:45,SC1,Inverness,Brechin,1,74,20,6,1.23,7.40,17.50,63,37,2.56,1.60,4 - 0
19:45,CHL,Juventus,Real Madrid,2,18,17,64,3.25,3.35,2.48,19,81,1.92,2.08,0 - 3
19:45,CHL,Sevilla,Bayern Munich,X2,33,19,47,5.70,4.50,1.64,19,81,2.46,1.66,1 - 2
19:45,SCP,Ross County,Partick Thistle,1X,53,26,21,2.46,3.30,3.35,59,41,1.72,2.34,4 - 0
19:45,SC1,Queen of South,Falkirk,1,62,26,12,2.78,3.55,2.70,68,32,2.06,1.88,2 - 2
19:45,EGC,Aston Villa,Reading,1X,63,19,18,1.58,4.20,7.40,32,68,2.02,1.97,3 - 0
19:45,EGC,Fulham,Leeds United,1,78,13,8,1.45,5.10,8.20,29,71,2.62,1.60,2 - 0
19:45,EGC,Wolverhampton,Hull City,1X,60,20,20,1.66,4.00,6.60,35,65,1.97,2.02,2 - 2
19:45,EG1,Bury,Rochdale,X2,28,28,44,3.80,3.40,2.20,59,41,1.80,2.20,0 - 2
19:45,SCP,Hibernian,Hamilton Academical,1,61,22,17,1.42,4.90,10.00,50,50,2.02,1.94,3 - 1
19:45,SC1,Dundee FC,Dumbarton,1,70,21,9,1.43,5.00,8.80,59,41,2.22,1.77,2 - 0
20:00,EGC,Bolton Wanderers,Birmingham,X2,31,29,40,3.05,3.10,2.80,63,37,1.55,2.76,0 - 1
20:00,SW2,Varberg,Örgryte,1,57,24,19,2.68,3.16,2.93,54,46,1.62,2.35,0 - 2
20:30,FR2,Tours,Valenciennes,1X,48,31,21,2.14,3.40,3.72,72,28,1.72,2.06,1 - 2
20:30,EST1,Trans,Tulevik,1X,38,32,29,1.16,7.07,15.41,72,28,2.35,1.52,2 - 0
21:45,SC1,Dundee United,Dumbarton,1,70,21,9,1.40,4.84,9.29,59,41,2.09,1.79,2 - 0
21:45,SC1,Queen of the South,Falkirk,1,62,26,12,2.76,3.49,2.62,68,32,2.04,1.84,2 - 2
21:45,SC1,Dunfermline Athletic,Livingston,2X,20,20,60,2.41,3.34,3.06,35,65,1.79,2.09,1 - 0
21:45,SC1,Inverness CT,Brechin City,1,74,20,6,1.22,6.88,15.50,63,37,2.39,1.60,4 - 0
21:45,SCP,Hibernian,Hamilton Academical,1,61,22,17,1.40,4.81,9.54,50,50,1.97,1.93,3 - 1
21:45,SCP,Motherwell,Aberdeen,X1,36,28,36,3.91,3.32,2.14,59,41,1.64,2.36,0 - 2
21:45,SCP,Ross County,Partick Thistle,1X,53,26,21,2.40,3.26,3.32,59,41,1.66,2.32,4 - 0
21:45,EG1,Bury,Rochdale,X2,28,28,44,3.74,3.41,2.13,59,41,1.74,2.17,0 - 2
21:45,EGC,Aston Villa,Reading,1X,63,19,18,1.57,4.13,6.87,32,68,1.95,1.85,3 - 0
21:45,EGC,Fulham,Leeds United,1,78,13,8,1.43,5.03,7.89,29,71,2.50,1.57,2 - 0
21:45,EGC,Wolverhampton Wanderers,Hull City,1X,60,20,20,1.62,3.96,6.39,35,65,1.92,1.98,2 - 2
21:45,CHL,Sevilla,Bayern München,X2,34,20,46,5.60,4.30,1.63,19,81,2.28,1.66,1 - 2
21:45,CHL,Juventus,Real Madrid,2,18,17,64,3.30,3.20,2.45,19,81,1.78,2.08,0 - 3
22:00,EGC,Bolton Wanderers,Birmingham City,X2,31,29,40,2.97,3.08,2.75,63,37,1.65,2.25,0 - 1
